Marca.temporal,Nome.da.praia..Concello,Tipo.de.actualización.que.nos.queres.facer.chegar,Está.avisado.o.112.,Xeolocalización,Por.onde.están.espallados.os.pellets,Quen.está.recollendo.os.pellets.,Como.estase.a.recoller.os.pellets.,Onde.se.depositan.os.pellets.,Hai.sacos.de.pellets.,Cantidade.de.pellets,Concello,Imaxe.dos.pellets.no.lugar.ou.da.xornada.de.limpeza,Data,Hora,Lugar.de.encontro,Quen.organiza.a.iniciativa,Contacto,Ligazón,Cartaz,Atopaches.animáis.mortos.,Información.adicional,Imaxes.adicionais,X.xenérica,Y.xenérica,lat,lon
2024-01-09T09:28:09Z,"Praia de Samil, Vigo",Convocatoria de xornada de limpeza,NA,NA,NA,NA,NA,NA,NA,,Vigo,NA,2024-01-10T00:00:00Z,15,Samil,Pelo morado chaqueta verde oliva,,NA,NA,NA,NA,NA,518480.3799,4673133.8207,42.210533600000005,-8.77617730373661
2024-01-09T18:35:46Z,"Praia da Madorra, Nigrán",Convocatoria de xornada de limpeza,NA,NA,NA,NA,NA,NA,NA,,Nigrán,NA,2024-01-10T00:00:00Z,16,Na mesma praia,Voluntariado de Val Miñor,,https://chat.whatsapp.com/DxMlgmgoDC0E3cZAcRGc5A?fbclid=IwAR3vyDFVYHQg6XTm2CN9OHkJzXm3UWIy9PBpCJoe9JhuBGHroZIrD5-GHps,https://drive.google.com/open?id=1Hcg_tRrjyCtixny_hnP8ATjWt-_8UVQJ,NA,NA,NA,514396.746,4666006.6651,42.1458428,-8.826154882889412
2024-01-09T19:06:18Z,"Praia de Ancoradoiro, Bueu",Convocatoria de xornada de limpeza,NA,NA,NA,NA,NA,NA,NA,,Bueu,NA,2024-01-10T00:00:00Z,15,Playa de Ancoradoiro,PlasticFREEwave,,NA,NA,NA,Más información en nuestro instagram: @plasticfreewave_ong,NA,514273.5212,4686847.5654,42.751454949999996,-9.093208466119965
2024-01-09T21:43:08Z,"Praia da Madorra, Nigrán",Convocatoria de xornada de limpeza,NA,NA,NA,NA,NA,NA,NA,,Nigrán,NA,2024-01-10T00:00:00Z,16,Praia da Madorra,Grupo whatsApp PO. Val do Miño,,NA,https://drive.google.com/open?id=1SCZ8ORIfLYtsi5d4_Y89_gV9Id_g1fk6,NA,Temos indicacións do concelleiro de Nigrán de deixar os pellets nunha rambla para a súa posterior recollida.,NA,514396.746,4666006.6651,42.1458428,-8.826154882889412
2024-01-07T14:22:31Z,"Praia de Doñinos, Ferrol",Hai pellets na praia,Si,Doniños outeiro,NA,"Voluntarios, Amigos voluntarios minimo hay 15",NA,NA,NA,,Ferrol,https://drive.google.com/open?id=1uqYF7KoGNClAdbTUGeEWtdq_3Udll4lO,NA,NA,NA,NA,,NA,NA,NA,No hay muchos pelets pero si hay mucha mierda y muchos plásticos. Cosa que el ayuntamiento tendría que ser el encargado en mantener esto limpio. No hay basura amarilla para depositar los residuos,NA,555004.4842,4816066.4484,43.49581515,-8.31745859239686
2024-01-07T16:47:53Z,Narón,Hai pellets na praia,Non,Narón,NA,Non hai ninguén,NA,NA,NA,,Narón,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0,0,43.5010981,-8.1923091
2024-01-07T17:07:17Z,"Praia da Madalena, Cabanas",Non hai pellets na praia,Non,https://www.google.com/maps/place/Playa+Magdalena/data=!4m2!3m1!1s0xd2e73823962ce05:0x96124e3871e3becc?utm_source=mstt_1&entry=gps&coh=199384&g_ep=CAESCjExLjEwOS4xMDEYACDXggMqGzQ3MDY4NjE1LCw0NzA4NzAxMSw0NzA3NTkxNUICRVM%3D,NA,Non hai ninguén,NA,NA,NA,,Cabanas,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,566966.094,4807493.0039,NA,NA
2024-01-07T17:08:03Z,"Praia de Chanteiro, Ares",Non hai pellets na praia,Non,"https://www.google.com/maps/place/Playa+de+Chanteiro,+Aldea+Chanteiro,+210,+15625+Ares,+A+Coru%C3%B1a/data=!4m2!3m1!1s0xd2e777be59bdfcb:0xd1ea41c1a8a81902?utm_source=mstt_1&entry=gps&coh=199384&g_ep=CAESCjExLjEwOS4xMDEYACDXggMqGzQ3MDY4NjE1LCw0NzA4NzAxMSw0NzA3NTkxNUICRVM%3D",NA,Non hai ninguén,NA,NA,NA,,Ares,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,556428.5522,4810556.099,210,NA
2024-01-07T17:46:44Z,"Praia de Canido, Vigo",Hai pellets na praia,Si,NA,NA,Voluntarios,Con luvas e pinzas entre as algas,NA,NA,,Vigo,https://drive.google.com/open?id=1RfC5uDViNf15Yihb-aWN9Hj85Y0Oo9o7,NA,NA,NA,NA,,NA,NA,NA,NA,NA,516748.8293,4671343.3971,42.194397800000004,-8.796962986293416
2024-01-07T17:56:47Z,"Praia de Aguieira, Porto do Son",Hai pellets na praia,Non,NA,NA,Voluntarios,Con capacho con agua e coador,NA,NA,,Porto do Son,"https://drive.google.com/open?id=1s7-QQIi1ModrwFGYkSy6sMxbVIBw1c9F, https://drive.google.com/open?id=1im0xrzYCEJ4QreZSd0EghcZnE6S2P70S",NA,NA,NA,NA,,NA,NA,NA,"Están moi dispersos, encontranse sobre todo na linea das algas",NA,502352.7492,4731963.6371,42.7421457,-8.964672127181696
